nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
CRUZEIRO SUL,FEIJO,230,280,3.791,23.846,44.8,780,780,1070,1070
FEIJO,RIO BRANCO I,230,392,5.481,35.315,68.75,780,780,1070,1070
RIO BRANCO I,TUCUMA,230,31.27,0.243,2.098,7.742,1750,1750,1400,1400
ARAPIRACA III,PENEDO,230,89.4,1.63,8.52,15.52,631,631,795,795
ARAPIRACA III,RIO LARGO II,230,124.4,2.25,11.88,21.58,631,631,795,795
MESSIAS,MACEIO,230,26.5,0.33,1.8,6.46,1068,1068,1346,1250
MESSIAS,MACEIO,230,26.5,0.33,1.8,6.46,1068,1068,1346,1250
MESSIAS,MACEIO II,230,19.71,0.18,1.33,4.9,1545,1545,1810,1810
MESSIAS,MACEIO II,230,19.71,0.18,1.32,4.9,1545,1545,1810,1810
MESSIAS,RIO LARGO II,230,15,0.097,0.981,3.732,1430,1430,1790,1790
MESSIAS,RIO LARGO II,230,11.9,0.21,1.12,1.94,631,631,795,795
MESSIAS,RIO LARGO II,230,11.9,0.21,1.08,2.02,437,437,621,621
MESSIAS,RIO LARGO II,230,11.6,0.21,1.09,2.02,437,437,621,621
SANTANA II,ANGELIM,230,155.91,2.885,15.62,25.78,437,437,621,516
CRISTIANO ROCHA,LECHUGA,230,5.425,0.05,0.37,1.32,1550,1550,1906,1906
CRISTIANO ROCHA,PR.FIGUEIREDO,230,97.78,0.925,6.439,23.492,1240,1240,1548,1548
JORG.TEIXEIRA,LECHUGA,230,30,0.197,1.974,7.587,1945,1945,2315,2315
JORG.TEIXEIRA,LECHUGA,230,30,0.197,1.974,7.587,1945,1945,2315,2315
JORG.TEIXEIRA,LECHUGA,230,30,0.204,1.91,7.731,1945,1945,2315,2315
JORG.TEIXEIRA,MAUA III,230,29.5,0.08,0.85,3.2,1990,1990,2447,2447
JORG.TEIXEIRA,MAUA III,230,29.5,0.08,0.85,3.2,1990,1990,2447,2447
LECHUGA,MANAUS,230,19.74,0.19,1.328,4.876,1550,1200,1906,1200
LECHUGA,MANAUS,230,19.74,0.19,1.328,4.876,1550,1200,1906,1200
SE BALBINA,LECHUGA,230,159.21,1.61,10.91,40.35,0,0,0,0
SE BALBINA,PR.FIGUEIREDO,230,57.23,0.59,4.098,14.916,1240,1240,1548,1548
LARANJAL,MACAPA,230,244,1.94,13.32,66.93,1400,1400,1750,1750
LARANJAL,MACAPA,230,244,1.94,13.32,66.93,1400,1400,1750,1750
MACAPA,MACAPA III,230,10,0.078,0.653,2.518,1500,1500,2000,2000
ALAGOINHAS II,CATU,230,37.78,0.7707,4.083,7.033,437,437,621,437
ALAGOINHAS II,OLINDINA,230,82.84,1.5906,8.012,14.1,437,437,621,621
B.JESUS LAPA,BROTAS.MACAUBAS,230,210,3.84,19.73,35.08,631,631,795,795
B.JESUS LAPA,TABOCAS BRJ VLH,230,123.56,2.25,11.59,21.62,631,631,795,795
BARREIRAS,BARREIRAS II,230,21.73,0.297,1.719,4.496,631,631,795,795
BARREIRAS,BARREIRAS II,230,147,0.14,1.208,4.56,1440,1440,2000,2000
BARREIRAS,BARREIRAS II,230,20.66,0.38,2,3.52,631,631,795,795
BARREIRAS,RIO GRANDE II,230,109.61,2.183,10.301,19.45,585,585,740,740
BARREIRAS,RIO GRANDE II,230,109.98,2.171,10.23,24.07,585,585,740,740
BARREIRAS II,DIANOPOLIS II,230,233.83,1.7625,15.042,59.42,1400,1400,1750,1750
BARREIRAS II,TABOCAS BRJ VLH,230,96.17,1.75,9.31,16.22,631,631,795,795
BOM.JES.LAPA II,B.JESUS LAPA,230,1.5,0.04,0.206,0.648,2000,2000,2000,2000
