id,val_niveltensao,idh
ABAIARA,230,0.734
ABDON BATISTA,500,0.792
ABUNA,230,0.7
ACAILANDIA,500,0.676
ACARAU II,230,0.734
ACARAU III,500,0.734
ACU II,230,0.728
ACU III,500,0.728
ADRIANOPOLIS,500,0.762
AGUA AZUL,440,0.806
AGUA VERMELHA,500,0.806
AGUAS LINDAS,230,0.737
AIMORES-SE,230,0.774
ALAGOINHAS II,230,0.691
ALEGRETE2,230,0.771
ALEX,230,0.734
ALTA PAULISTA,440,0.806
ALTAMIRA,230,0.69
ANASTACIO,230,0.742
ANDIRA LESTE,230,0.769
ANGELIM,230,0.719
ANGELIM II,500,0.719
ANGRA FUR,500,0.762
ANHANGUERA,345,0.806
APARECIDA,230,0.806
APERAM,230,0.774
APUCARANA,230,0.769
AQUIRAZ II,230,0.734
ARACUAI 2,230,0.774
ARAPIRACA III,230,0.684
ARARAQUARA 2,600,0.806
ARARAQUARA CTP,440,0.806
ARARAQUARA FUR,500,0.806
ARARAS,440,0.806
ARAXA 3,345,0.774
ARCOVERDE II,230,0.719
AREIA,500,0.769
ARINOS 2,500,0.774
ARIQUEMES,230,0.7
ASOLO 2,230,0.737
ASSIS,500,0.806
ATIBAIA II,345,0.806
ATLANTIDA 2,230,0.771
AVARE NOVA,230,0.806
B. ESPERANCA,500,0.69
B. FLUMINENSE,500,0.762
B. SANTISTA,345,0.806
B.DESPACHO 3,500,0.774
B.JESUS LAPA,230,0.691
BACABEIRA,500,0.676
BAGE2,230,0.771
BAGUACU,440,0.806
BAGUARI-SE,230,0.774
BAIXO IGUACU,230,0.769
BALSAS,230,0.676
BANABUIU,230,0.734
BANDEIRANTES,345,0.806
BAR.COQUEIROS,230,0.737
BARAO COCAIS3,230,0.774
BARBACENA 2,345,0.774
BARRA GRANDE,230,0.792
BARRA PEIXE,230,0.736
BARREIRAS,230,0.691
BARREIRAS II,500,0.691
BARREIRO 1,345,0.774
BARRO ALTO,230,0.737
BARRO BRANCO,345,0.774
BATEIAS,500,0.769
BAURU,440,0.806
BETIM 6,345,0.774
BIGUACU,500,0.792
BLUMENAU,500,0.792
BOA VISTA,500,0.699
BOM JARDIM,440,0.806
BOM JESUS II,230,0.69
BOM NOME,230,0.719
BOM.JES.LAPA II,500,0.691
BONGI,230,0.719
BOTUCATU,230,0.806
BRACELL,440,0.806
BRAS. GERAL,230,0.814
BRAS. SUL,345,0.814
BRAS.LESTE,500,0.814
BRASNORTE,230,0.736
BRAUNAS,230,0.774
BROTAS.MACAUBAS,230,0.691
BRUMADO II,230,0.691
BURITIRAMA,500,0.691
C. DOURADA,230,0.737
C. PAULISTA,500,0.806
C.COMPRIDO,230,0.769
C.GRANDE II,230,0.698
C.GRANDE III,500,0.698
C.I.CURITIBA,230,0.769
C.INDUSTRIAL,230,0.771
C.MOURAO,230,0.769
C.NOVOS,500,0.792
C.PORTO VELHO,600,0.7
CABREUVA,440,0.806
CACHOEIRINHA3,230,0.771
CAETES II,230,0.719
CAMACARI II,500,0.691
CAMACARI IV,500,0.691
CAMAQUA,230,0.771
CAMAQUA 3,230,0.771
CAMPINAS,500,0.806
CAMPO ASSOBIO,230,0.769
CAMPO BOM,230,0.771
CAMPO FORMOSO,230,0.691
CAMPO GRANDE2,230,0.742
CAMPOS,345,0.762
CAMPOS 2,500,0.762
CANARANA,230,0.736
CANDELARIA 2,230,0.771
CANDIOTA 2,500,0.771
CANOAS 1,230,0.771
CANOAS 2,230,0.771
CANOINHAS ESU,230,0.792
CAPAO BONITO,230,0.806
CAPELINHA 3,500,0.774
CAPIVARA,440,0.806
CAPIVARI SUL,500,0.771
CARAJAS,230,0.69
CARAUBAS II,230,0.728
CARBOCLORO,230,0.806
CASCAVEL,230,0.769
CASCAVEL NORT,230,0.769
CASCAVEL OEST,500,0.769
CASTANHAL,230,0.69
CASTERTECH,230,0.771
CASTRO NORTE,230,0.769
CATU,230,0.691
CAUIPE,230,0.734
CAXIAS,500,0.771
CAXIAS 6,230,0.771
CAXIAS II,230,0.676
CAXIAS NORTE,500,0.771
CAXIAS SUL 2,230,0.771
CAXIAS SUL 5,230,0.771
CBA2 CIA.B.ALUM,440,0.806
CEARA MIRIM 2,500,0.728
CENTRO-CTR,230,0.806
CENTRO-CTT,230,0.806
CERQUILHO III,230,0.806
CERRO CHATO,230,0.771
CHAPADA I,230,0.69
CHAPADA II,230,0.69
CHAPADA III,230,0.69
CHAPADAO,230,0.742
CHAPADINHA II,230,0.676
CHARQUEADAS,230,0.771
CHARQUEADAS3,230,0.771
